#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AAR2	9606.ENSP00000363043	https://smart.embl.de/smart/DDvec.cgi?smart=384:Pfam_AAR2(17|364)+	Protein AAR2 homolog; Component of the U5 snRNP complex that is required for spliceosome assembly and for pre-mRNA splicing	25980,A2A2Q9,AAD27732.1,AAF29578.1,AAH01751.1,AAH19311.1,AAR2,AAR2 splicing factor homolog,AAR2 splicing factor homolog (S. cerevisiae),AAR2-001,AAR2-002,AAR2-003,AAR2_HUMAN,AF113672,AF132957,AL117419,AL121895,BC001751,BC019311,C20orf4,CAB034220,CAB55913.1,CAC09921.1,CCDS13273,CCDS13273.1,CGI-23,E1P5S7,EAW76141.1,EAW76142.1,EAW76143.1,ENSG00000131043,ENSP00000253356,ENSP00000313674,ENSP00000363043,ENSP00000380455,ENST00000253356,ENST00000320849,ENST00000373932,ENST00000397286,HGNC:15886,HPA048645,Hs.11314,NM_001271874,NM_001271874.1,NM_015511,NM_015511.4,NP_001258803,NP_001258803.1,NP_056326,NP_056326.2,NX_Q9Y312,OMIM:617365,OTTHUMG00000032380,OTTHUMP00000030846,OTTHUMP00000178582,OTTHUMP00000178583,OTTHUMT00000079001,OTTHUMT00000276151,OTTHUMT00000276152,PRO0225,Protein AAR2 homolog,Q9H4F9,Q9P1P3,Q9UFK9,Q9Y312,UPI00001285C6,UPI0000D4C458,XM_005260385,XM_005260385.2,XM_006723770,XM_006723770.1,XP_005260442,XP_005260442.1,XP_006723833,XP_006723833.1,XP_011527064.1,XP_011527065.1,bA234K24.2,chromosome 20 open reading frame 4,hsa:25980,uc002xfc.3,uc002xfc.4,uc002xfe.2
AASS	9606.ENSP00000377040	https://smart.embl.de/smart/DDvec.cgi?smart=926:AlaDh_PNT_N(27|157)+AlaDh_PNT_C(197|399)+Pfam_Sacchrp_dh_NADP(483|598)+Pfam_Sacchrp_dh_C(602|916)+	Alpha-aminoadipic semialdehyde synthase, mitochondrial; Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively	1.5.1.8,1.5.1.9,10157,247900,5L76,5L78,5O1N,5O1P,A4D0W4,AAF03526.1,AAF44328.1,AASS,AASS-001,AASS-002,AASS-003,AASS-004,AASS-005,AASS-006,AASS-007,AASS_HUMAN,AC006020,AF229180,AJ007714,Aminoadipate-semialdehyde synthase,CAA07619.2,CCDS5783,CCDS5783.1,EAL24343.1,EAW83564.1,EAW83565.1,EC 1.5.1.8,EC 1.5.1.9,ENSG00000008311,ENSP00000222418,ENSP00000311621,ENSP00000315725,ENSP00000351834,ENSP00000377040,ENSP00000394180,ENSP00000403768,ENSP00000414001,ENST00000222418,ENST00000310918,ENST00000318649,ENST00000358954,ENST00000393376,ENST00000417368,ENST00000426162,ENST00000431170,ENST00000460376,ENST00000473553,F8WAH1,F8WE53,H7C0C6,HGNC:17366,HPA020637,HPA020728,HPA020734,Hs.156738,LKR/SDH,LKRSDH,LORSDH,NM_005763,NM_005763.3,NP_005754,NP_005754.2,NX_Q9UDR5,O95462,OMIM:605113,OTTHUMG00000157058,OTTHUMP00000211399,OTTHUMP00000211400,OTTHUMP00000211401,OTTHUMP00000211402,OTTHUMP00000211403,OTTHUMT00000347298,OTTHUMT00000347299,OTTHUMT00000347300,OTTHUMT00000347301,OTTHUMT00000347302,OTTHUMT00000347303,OTTHUMT00000347304,Q9UDR5,UPI000004A105,UPI000198CFD2,UPI000198CFD3,UPI000198CFD4,aminoadipate-semialdehyde synthase,hsa:10157,uc003vka.3,uc003vka.4,uc003vkb.3,uc003vkb.4
AATF	9606.ENSP00000477848	https://smart.embl.de/smart/DDvec.cgi?smart=560:Pfam_AATF-Che1(220|373)+Pfam_TRAUB(464|548)+	Protein AATF; May function as a general inhibitor of the histone deacetylase HDAC1. Binding to the pocket region of RB1 may displace HDAC1 from RB1/E2F complexes, leading to activation of E2F target genes and cell cycle progression. Conversely, displacement of HDAC1 from SP1 bound to the CDKN1A promoter leads to increased expression of this CDK inhibitor and blocks cell cycle progression. Also antagonizes PAWR mediated induction of aberrant amyloid peptide production in Alzheimer disease (presenile and senile dementia), although the molecular basis for this phenomenon has not been desc [...] 	26574,5W6A,A6NCJ6,AATF,AATF-001,AATF-002,AATF-003,AATF-004,AATF-005,AATF-006,AATF-007,AATF-008,AATF-009,AATF_HUMAN,AF083208,Apoptosis antagonizing transcription factor,Apoptosis-antagonizing transcription factor,B3KQ26,BFR2,CCDS32632,CCDS32632.1,CHE-1,CHE1,DED,ENSG00000275700,ENSP00000477848,ENSP00000477881,ENSP00000479926,ENSP00000480472,ENST00000610798,ENST00000613840,ENST00000615319,ENST00000616062,ENST00000616392,ENST00000616434,ENST00000617141,ENST00000619387,ENST00000622432,HGNC:19235,HSPC277,Hs.195740,Hs.699485,Hs.716141,K7ENE9,NM_012138,NM_012138.3,NP_036270,NP_036270.1,NX_Q9NY61,OMIM:608463,OTTHUMG00000188458,OTTHUMP00000276646,OTTHUMP00000276647,OTTHUMP00000276648,OTTHUMP00000276649,OTTHUMT00000477299,OTTHUMT00000477300,OTTHUMT00000477301,OTTHUMT00000477302,OTTHUMT00000477303,OTTHUMT00000477304,OTTHUMT00000477305,OTTHUMT00000477306,OTTHUMT00000477307,Protein AATF,Q9NY61,Q9P0A4,Q9UNX5,Rb-binding protein Che-1,UPI0002841076,UPI0002841077,UPI0002841078,apoptosis antagonizing transcription factor,hsa:26574,uc002hni.3
ABCC1	9606.ENSP00000382342	https://smart.embl.de/smart/DDvec.cgi?smart=1531:TRANS(36|58)+TRANS(75|92)+TRANS(102|124)+TRANS(131|153)+TRANS(173|192)+Pfam_ABC_membrane(325|596)+AAA(670|861)+Pfam_ABC_membrane(975|1244)+AAA(1319|1504)+	Multidrug resistance-associated protein 1; Mediates export of organic anions and drugs from the cytoplasm. Mediates ATP-dependent transport of glutathione and glutathione conjugates, leukotriene C4, estradiol-17-beta-o- glucuronide, methotrexate, antiviral drugs and other xenobiotics. Confers resistance to anticancer drugs. Hydrolyzes ATP with low efficiency; Belongs to the ABC transporter superfamily. ABCC family. Conjugate transporter (TC 3.A.1.208) subfamily	2CBZ,4363,4C3Z,A3RJX2,ABC29,ABCC,ABCC1,ABCC1-001,ABCC1-002,ABCC1-003,ABCC1-004,ABCC1-005,ABCC1-006,ABCC1-007,ABCC1-201,ATP binding cassette subfamily C,ATP binding cassette subfamily C member 1,ATP-binding cassette sub-family C member 1,ATP-binding cassette, sub-family C, member 1,C9JPJ4,CAB016097,CCDS42122,CCDS42122.1,ENSG00000103222,ENSP00000263013,ENSP00000263014,ENSP00000263015,ENSP00000263016,ENSP00000263017,ENSP00000263018,ENSP00000263019,ENSP00000382326,ENSP00000382340,ENSP00000382342,ENSP00000440170,ENSP00000459693,ENSP00000461615,ENST00000263013,ENST00000263014,ENST00000263015,ENST00000263016,ENST00000263017,ENST00000263018,ENST00000263019,ENST00000345148,ENST00000346370,ENST00000349029,ENST00000349532,ENST00000351154,ENST00000353257,ENST00000399394,ENST00000399408,ENST00000399410,ENST00000536381,ENST00000572053,ENST00000572882,ENST00000574224,ENST00000574761,ENST00000575422,ENST00000576557,GS-X,HGNC:51,HPA002380,Hs.391464,I3L2H9,L05628,Leukotriene C(4) transporter,MRP,MRP1,MRP1_HUMAN,Multidrug resistance-associated protein 1,NM_004996,NM_004996.3,NP_004987,NP_004987.2,NX_P33527,O14819,O43333,OMIM:158343,OTTHUMG00000048267,OTTHUMP00000045904,OTTHUMP00000256414,OTTHUMP00000258720,OTTHUMT00000109701,OTTHUMT00000436390,OTTHUMT00000436391,OTTHUMT00000436392,OTTHUMT00000436393,OTTHUMT00000436394,OTTHUMT00000436395,P33527,P78419,Q59GI9,Q9UQ97,Q9UQ99,Q9UQA0,UPI00025A3034,UPI00025A3035,XM_005255327,XM_005255327.1,XM_005255328,XM_005255328.1,XM_006720885,XM_006720885.1,XP_005255384,XP_005255384.1,XP_005255385,XP_005255385.1,XP_006720948,XP_006720948.1,hsa:4363,multidrug resistance associated protein 1,uc002del.4,uc010bvi.3,uc010bvi.4
ACAD9	9606.ENSP00000312618	https://smart.embl.de/smart/DDvec.cgi?smart=621:Pfam_Acyl-CoA_dh_N(65|173)+Pfam_Acyl-CoA_dh_M(177|278)+Pfam_Acyl-CoA_dh_1(290|441)+	Acyl-CoA dehydrogenase family member 9, mitochondrial; Required for mitochondrial complex I assembly. Has a dehydrogenase activity on palmitoyl-CoA (C16:0) and stearoyl-CoA (C18:0). It is three times more active on palmitoyl-CoA than on stearoyl-CoA. However, it does not play a primary role in long-chain fatty acid oxidation in vivo. Has little activity on octanoyl-CoA (C8:0), butyryl-CoA (C4:0) or isovaleryl-CoA (5:0); Belongs to the acyl-CoA dehydrogenase family	1.3.99.-,28976,AAD44486.1,AAH01817.2,AAH07970.1,AAH13354.1,AAL56011.1,ACAD9,ACAD9-001,ACAD9-002,ACAD9-003,ACAD9-005,ACAD9-007,ACAD9-008,ACAD9-009,ACAD9-010,ACAD9-011,ACAD9-012,ACAD9-013,ACAD9-014,ACAD9-201,ACAD9_HUMAN,AF078854,AF327351,AK022568,AK024012,AK297952,Acyl-CoA dehydrogenase family,BAB14104.1,BAB14775.1,BAG60267.1,BC001817,BC007970,BC013354,CCDS3053,CCDS3053.1,D3DNB8,D6R9Z3,D6RCD8,D6RDK9,D6RGK6,D6RJA8,EAW79294.1,EAW79295.1,EAW79296.1,EC 1.3.99.-,ENSG00000177646,ENSP00000310478,ENSP00000312618,ENSP00000325482,ENSP00000326125,ENSP00000334432,ENSP00000384784,ENSP00000391366,ENSP00000422020,ENSP00000422683,ENSP00000423758,ENSP00000425226,ENSP00000425346,ENSP00000426189,ENSP00000426277,ENSP00000427283,ENSP00000478191,ENST00000308971,ENST00000308982,ENST00000312867,ENST00000312883,ENST00000334167,ENST00000406840,ENST00000453462,ENST00000505192,ENST00000505602,ENST00000505867,ENST00000508971,ENST00000511227,ENST00000511325,ENST00000511526,ENST00000512801,ENST00000514336,ENST00000514643,ENST00000515429,ENST00000620948,H0Y8Z9,HGNC:21497,HPA037716,HPA046720,Hs.567482,MGC14452,Mitochondrial complex I assembly complex,NM_014049,NM_014049.4,NPD002,NP_054768,NP_054768.2,NX_Q9H845,OMIM:611103,OTTHUMG00000159942,OTTHUMP00000217095,OTTHUMP00000217096,OTTHUMP00000217097,OTTHUMP00000217098,OTTHUMP00000217099,OTTHUMP00000217100,OTTHUMP00000217101,OTTHUMP00000217102,OTTHUMP00000217103,OTTHUMT00000358405,OTTHUMT00000358406,OTTHUMT00000358407,OTTHUMT00000358409,OTTHUMT00000358411,OTTHUMT00000358412,OTTHUMT00000358413,OTTHUMT00000358414,OTTHUMT00000358415,OTTHUMT00000358416,OTTHUMT00000358417,OTTHUMT00000358418,Q8WXX3,Q9BUX5,Q9H845,Q9H9W4,Q9UNZ4,UPI00000498C3,UPI000013EDF5,UPI0000D4DFC6,UPI0001D3BC7C,UPI0001D3BC7D,UPI0001D3BC7E,UPI0001D3BC7F,UPI0001D3BC80,acyl-CoA dehydrogenase family member 9,acyl-CoA dehydrogenase family, member 9,acyl-Coenzyme A dehydrogenase family, member 9,hsa:28976,uc003ela.4,uc003ela.5,uc003elb.3,uc011bks.2
ACADM	9606.ENSP00000359871	https://smart.embl.de/smart/DDvec.cgi?smart=454:Pfam_Acyl-CoA_dh_N(42|109)+Pfam_Acyl-CoA_dh_N(120|185)+Pfam_Acyl-CoA_dh_M(190|288)+Pfam_Acyl-CoA_dh_2(315|438)+	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial; Acyl-CoA dehydrogenase specific for acyl chain lengths of 4 to 16 that catalyzes the initial step of fatty acid beta- oxidation. Utilizes the electron transfer flavoprotein (ETF) as an electron acceptor to transfer electrons to the main mitochondrial respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase)	1.3.8.7,1EGC,1EGD,1EGE,1T9G,2A1T,34,4P13,AAA51566.1,AAA59567.1,AAB59625.1,AAF63626.1,AAH05377.1,ACAD1,ACADM,ACADM-001,ACADM-002,ACADM-003,ACADM-004,ACADM-005,ACADM-006,ACADM-007,ACADM-008,ACADM-009,ACADM-010,ACADM-011,ACADM-012,ACADM-013,ACADM-014,ACADM-015,ACADM-016,ACADM-017,ACADM-201,ACADM_HUMAN,AF251043,AK296045,AK301005,AK312629,AK315946,Acyl-CoA dehydrogenase family,B4DJE7,B4DVB1,B7Z9I1,BAG35514.1,BAG58809.1,BAG62623.1,BAH14317.1,BC005377,CAI22390.1,CCDS44165,CCDS44165.1,CCDS65562,CCDS65562.1,CCDS668,CCDS668.1,CCDS72807,CCDS72807.1,E9PIX8,E9PJM9,E9PLN7,E9PQA8,E9PRX4,EAX06399.1,EAX06401.1,EC 1.3.8.7,ENSG00000117054,ENSP00000235701,ENSP00000359868,ENSP00000359871,ENSP00000359878,ENSP00000409612,ENSP00000431372,ENSP00000431953,ENSP00000432522,ENSP00000434092,ENSP00000434284,ENSP00000434823,ENSP00000435584,ENSP00000442324,ENSP00000446176,ENST00000235701,ENST00000370831,ENST00000370834,ENST00000370841,ENST00000420607,ENST00000473018,ENST00000481374,ENST00000525808,ENST00000525881,ENST00000526129,ENST00000526196,ENST00000526930,ENST00000528016,ENST00000529059,ENST00000530953,ENST00000532207,ENST00000532509,ENST00000534146,ENST00000534334,ENST00000541113,ENST00000543667,H0YDT5,HGNC:89,HPA006198,HPA026542,Hs.445040,M16827,M60505,M91421,M91422,M91423,M91425,M91426,M91427,M91428,M91429,M91430,M91431,M91432,MCAD,MCADH,NM_000016,NM_000016.5,NM_001127328,NM_001127328.2,NM_001286042,NM_001286042.1,NM_001286043,NM_001286043.1,NP_000007,NP_000007.1,NP_001120800,NP_001120800.1,NP_001272971,NP_001272971.1,NP_001272972,NP_001272972.1,NP_001272973,NP_001272973.1,NX_P11310,OMIM:607008,OTTHUMG00000009784,OTTHUMP00000011345,OTTHUMP00000011346,OTTHUMP00000232502,OTTHUMP00000232503,OTTHUMP00000232504,OTTHUMP00000232505,OTTHUMP00000232506,OTTHUMP00000232507,OTTHUMP00000232508,OTTHUMP00000232509,OTTHUMT00000026967,OTTHUMT00000026968,OTTHUMT00000026969,OTTHUMT00000026970,OTTHUMT00000388944,OTTHUMT00000388945,OTTHUMT00000388946,OTTHUMT00000388947,OTTHUMT00000388948,OTTHUMT00000388949,OTTHUMT00000388950,OTTHUMT00000388951,OTTHUMT00000388952,OTTHUMT00000388953,OTTHUMT00000388954,OTTHUMT00000388955,OTTHUMT00000388956,P11310,Q5T4U4,Q5T4U5,Q9NYF1,UPI00001251E6,UPI0000470C0B,UPI0000EE3287,UPI000191545D,UPI0001F7852C,UPI0001F7852D,UPI0001F7852E,UPI0001F7852F,UPI0001F78530,UPI0001F78531,acyl-CoA dehydrogenase medium chain,hsa:34,medium-chain acyl-CoA dehydrogenase,uc001dgw.5,uc001dgw.6,uc009wbp.4,uc009wbr.4,uc009wbs.1,uc010orc.2,uc010ore.3
ACSL3	9606.ENSP00000350012	https://smart.embl.de/smart/DDvec.cgi?smart=720:TRANS(21|43)+Pfam_AMP-binding(113|587)+	Long-chain-fatty-acid--CoA ligase 3; Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation. ACSL3 mediates hepatic lipogenesis (By similarity). Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates (By similarity). Has mainly an anabolic role in energy metabolism. Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins); Belongs to the ATP-dependent AMP-binding enzyme family	2181,6.2.1.3,A0A024R497,AAH32144.1,AAH41692.1,AB061436,AB061712,AC013476,AC016712,ACS3,ACSL3,ACSL3-001,ACSL3-002,ACSL3-003,ACSL3-004,ACSL3-005,ACSL3-007,ACSL3-008,ACSL3-009,ACSL3-010,ACSL3-011,ACSL3-012,ACSL3_HUMAN,AK001471,Acyl-CoA synthetase family,B3KMA6,BAA37142.1,BAB72074.1,BAB72139.1,BAG50918.1,BC032144,BC041692,C9JC11,CCDS2455,CCDS2455.1,D89053,EAW70807.1,EAW70808.1,EAW70809.1,EC 6.2.1.3,ENSG00000123983,ENSP00000264415,ENSP00000309943,ENSP00000350012,ENSP00000375917,ENSP00000375918,ENSP00000385157,ENSP00000404182,ENSP00000416913,ENSP00000438342,ENSP00000441643,ENST00000264415,ENST00000308147,ENST00000357430,ENST00000392065,ENST00000392066,ENST00000407441,ENST00000413316,ENST00000421680,ENST00000463813,ENST00000474422,ENST00000495541,ENST00000535678,ENST00000540115,ENST00000542810,F5GWH2,F5H062,FACL3,H7C260,HGNC:3570,HPA011315,Hs.655772,LACS3,LACS_3,Long-chain acyl-CoA synthetase 3,Long-chain-fatty-acid--CoA ligase 3,NM_004457,NM_004457.3,NM_203372,NM_203372.1,NP_004448,NP_004448.2,NP_976251,NP_976251.1,NX_O95573,O95573,OMIM:602371,OTTHUMG00000133160,OTTHUMP00000164212,OTTHUMP00000203810,OTTHUMP00000203811,OTTHUMP00000203812,OTTHUMP00000203813,OTTHUMP00000237227,OTTHUMP00000237228,OTTHUMT00000256862,OTTHUMT00000331001,OTTHUMT00000331002,OTTHUMT00000331003,OTTHUMT00000331004,OTTHUMT00000331006,OTTHUMT00000331007,OTTHUMT00000331008,OTTHUMT00000396904,OTTHUMT00000396905,OTTHUMT00000396906,PRO2194,Q60I92,Q6PIM8,Q8IUM9,UPI0000074742,UPI0001881949,UPI000188194A,UPI000188194B,UPI000204A874,UPI000204A875,XP_016859073.1,acyl-CoA synthetase long chain family member 3,acyl-CoA synthetase long-chain family member 3,fatty-acid-Coenzyme A ligase, long-chain 3,hsa:2181,uc002vni.3,uc002vni.4,uc002vnj.3
ADAM9	9606.ENSP00000419446	https://smart.embl.de/smart/DDvec.cgi?smart=819:SIGNAL(1|28)+Pfam_Pep_M12B_propep(35|163)+Pfam_Reprolysin_4(211|398)+DISIN(423|499)+ACR(500|637)+EGF(643|674)+TRANS(699|718)+	Disintegrin and metalloproteinase domain-containing protein 9; Cleaves and releases a number of molecules with important roles in tumorigenesis and angiogenesis, such as TEK, KDR, EPHB4, CD40, VCAM1 and CDH5. May mediate cell-cell, cell- matrix interactions and regulate the motility of cells via interactions with integrins; ADAM metallopeptidase domain containing	1M1V,3.4.24.-,8754,A0AVL1,AAC50403.1,AAI26407.1,AAI43924.1,AAM49575.1,ADAM metallopeptidase domain 9,ADAM metallopeptidase domain containing,ADAM9,ADAM9-001,ADAM9-002,ADAM9-003,ADAM9-004,ADAM9-005,ADAM9-006,ADAM9-007,ADAM9-008,ADAM9-010,ADAM9_HUMAN,AF495383,AK293257,B4DDM8,B7ZLN7,BAA03499.2,BAG56789.1,BC126406,BC143923,C9J643,C9J6H5,C9JPM3,CCDS6112,CCDS6112.1,CHEMBL5982,CORD9,Cellular disintegrin-related protein,D14665,EAW63284.1,EC 3.4.24.-,ENSG00000168615,ENSP00000304506,ENSP00000305538,ENSP00000369249,ENSP00000417066,ENSP00000418437,ENSP00000418737,ENSP00000419446,ENSP00000420257,ENST00000302458,ENST00000302745,ENST00000379917,ENST00000463437,ENST00000466936,ENST00000468065,ENST00000481058,ENST00000481513,ENST00000481873,ENST00000484143,ENST00000487273,F8WC54,HGNC:216,HPA004000,Hs.2442,Hs.591852,Hs.618683,KIAA0021,M12.209,MCMP,MDC9,MLTNG,Meltrin-gamma,Mltng,Myeloma cell metalloproteinase,NM_003816,NM_003816.2,NP_003807,NP_003807.1,NX_Q13443,OMIM:602713,OTTHUMG00000159783,OTTHUMP00000216481,OTTHUMP00000216482,OTTHUMP00000216483,OTTHUMP00000216484,OTTHUMP00000216485,OTTHUMP00000216486,OTTHUMT00000357291,OTTHUMT00000357292,OTTHUMT00000357293,OTTHUMT00000357294,OTTHUMT00000357295,OTTHUMT00000357296,OTTHUMT00000357297,OTTHUMT00000357298,OTTHUMT00000377483,Q10718,Q13443,Q8NFM6,U41766,UPI0000048D87,UPI000007368A,UPI00004812B6,UPI0000D49B1F,UPI0000E5BE95,UPI0001B7916C,a disintegrin and metalloproteinase domain 9,cone rod dystrophy 9,hsa:8754,meltrin gamma,uc003xmp.3,uc003xmr.3,uc003xmr.4
ADAMTS1	9606.ENSP00000284984	https://smart.embl.de/smart/DDvec.cgi?smart=967:Pfam_Pep_M12B_propep(48|174)+Pfam_Reprolysin(258|467)+ACR(468|548)+TSP1(562|614)+Pfam_ADAM_spacer1(725|843)+TSP1(857|910)+TSP1(911|967)+	A disintegrin and metalloproteinase with thrombospondin motifs 1; Cleaves aggrecan, a cartilage proteoglycan, at the '1938-Glu-|-Leu-1939' site (within the chondroitin sulfate attachment domain), and may be involved in its turnover (By similarity). Has angiogenic inhibitor activity. Active metalloprotease, which may be associated with various inflammatory processes as well as development of cancer cachexia. May play a critical role in follicular rupture; ADAM metallopeptidases with thrombospondin type 1 motif	2JIH,2V4B,3.4.24.-,3Q2G,3Q2H,9510,AAD48080.1,AAF15317.1,AAF23772.1,AB037767,ADAMTS1,ADAMTS1-001,ADAMTS1-002,ADAMTS1-003,ADAMTS1-004,ADAMTS1-006,ADAMTS1-007,AF060152,AF170084,AF207664,AK129873,AL162080,AP001599,ATS1_HUMAN,BAA92584.1,BAA95502.1,BAC85245.1,C3-C5,CAB016394,CAB82413.1,CCDS33524,CCDS33524.1,CHEMBL5133,D3DSD5,E5RI60,E5RJR7,E7EVS0,EAX09951.1,EAX09952.1,EC 3.4.24.-,ENSG00000154734,ENSP00000284984,ENSP00000316071,ENSP00000372337,ENSP00000403404,ENSP00000429557,ENSP00000431065,ENST00000284984,ENST00000325399,ENST00000382884,ENST00000451462,ENST00000464589,ENST00000492656,ENST00000517452,ENST00000517777,HGNC:217,HPA031498,HPA031499,Hs.211485,Hs.643357,Hs.706436,KIAA1346,M12.222,METH-1,METH1,NM_006988,NM_006988.3,NP_008919,NP_008919.3,NX_Q9UHI8,OMIM:605174,OTTHUMG00000078688,OTTHUMP00000096354,OTTHUMP00000096355,OTTHUMP00000228155,OTTHUMP00000228156,OTTHUMT00000171650,OTTHUMT00000171651,OTTHUMT00000171652,OTTHUMT00000171653,OTTHUMT00000381380,OTTHUMT00000381381,Q6ZP79,Q9NSJ8,Q9P2K0,Q9UH83,Q9UHI8,Q9UP80,UPI000013DDC6,UPI0000E5A38D,UPI0001E8EEF2,UPI0001E8EEF3,hsa:9510,uc002ymf.3,uc002ymf.4
ADCK4	9606.ENSP00000315118	https://smart.embl.de/smart/DDvec.cgi?smart=544:Pfam_ABC1(197|313)+	Atypical kinase COQ8B, mitochondrial; Atypical kinase involved in the biosynthesis of coenzyme Q, also named ubiquinone, an essential lipid-soluble electron transporter for aerobic cellular respiration. Its substrate specificity is unclear: does not show any protein kinase activity. Probably acts as a small molecule kinase, possibly a lipid kinase that phosphorylates a prenyl lipid in the ubiquinone biosynthesis pathway. Required for podocyte migration	79934,A0A024R0Q9,AAH13114.2,AAH27473.1,ADCK4,ADCK4-001,ADCK4-002,ADCK4-003,ADCK4-004,ADCK4-005,ADCK4-006,ADCK4-007,ADCK4-009,ADCK4-010,ADCK4-011,ADCK4-012,ADCK4-013,ADCK4-014,ADCK4-015,ADCK4-016,ADCK4-017,ADCK4-018,AK022291,AarF domain-containing protein kinase 4,Atypical kinase COQ8B, mitochondrial,BAB14004.1,BC013114,BC027473,CCDS12562.1,CCDS46081.1,CHEMBL5753,COQ8,COQ8B,COQ8B_HUMAN,Coenzyme Q protein 8B,EAW56988.1,EAW56989.1,ENSG00000123815,ENSP00000243583,ENSP00000314737,ENSP00000315118,ENSP00000412839,ENSP00000470876,ENSP00000470894,ENSP00000470916,ENSP00000471192,ENSP00000471310,ENSP00000472519,ENSP00000472775,ENSP00000472925,ENSP00000472978,ENSP00000473017,ENSP00000473189,ENST00000243583,ENST00000324451,ENST00000324464,ENST00000450541,ENST00000593544,ENST00000593723,ENST00000593724,ENST00000594084,ENST00000594490,ENST00000594720,ENST00000595254,ENST00000596357,ENST00000596455,ENST00000599643,ENST00000600080,ENST00000600707,ENST00000601304,ENST00000601451,ENST00000601967,FLJ12229,HPA027229,HPA027277,HPA027279,Hs.130712,Hs.720531,M0QZZ2,M0R001,M0R011,M0R0F4,M0R0L2,M0R2F4,M0R307,M0R340,M0R362,M0R3F7,NM_001142555,NM_001142555.2,NM_024876,NM_024876.3,NPHS9,NP_001136027,NP_001136027.1,NP_079152,NP_079152.3,NX_Q96D53,OTTHUMG00000182620,OTTHUMP00000269689,OTTHUMP00000269690,OTTHUMP00000269691,OTTHUMP00000269692,OTTHUMP00000269696,OTTHUMP00000269697,OTTHUMP00000269698,OTTHUMP00000269699,OTTHUMP00000270234,OTTHUMP00000270235,OTTHUMP00000270236,OTTHUMP00000270238,OTTHUMP00000270239,OTTHUMT00000462731,OTTHUMT00000462732,OTTHUMT00000462733,OTTHUMT00000462734,OTTHUMT00000462735,OTTHUMT00000462736,OTTHUMT00000462737,OTTHUMT00000462753,OTTHUMT00000462754,OTTHUMT00000462755,OTTHUMT00000462756,OTTHUMT00000463796,OTTHUMT00000463797,OTTHUMT00000463798,OTTHUMT00000463806,OTTHUMT00000463807,OTTHUMT00000463808,Q8TAJ1,Q96D53,Q9HA52,UPI000007089F,UPI0000071B0F,UPI0002A47153,UPI0002A471FD,UPI0002A4732C,UPI0002A47389,UPI0002A473F8,UPI0002A4746D,UPI0002A474E5,UPI0002A4755C,UPI0002A475D2,UPI0002A47738,UPI0002A47759,XM_005259271,XM_005259272,XM_005259273,XM_005259274,XM_006723392,XM_006723393,XM_006723394,XP_005259327,XP_005259327.1,XP_005259328,XP_005259328.1,XP_005259329,XP_005259329.1,XP_005259330,XP_005259330.1,XP_005259331,XP_005259331.1,XP_006723455,XP_006723455.1,XP_006723456,XP_006723456.1,XP_006723457,XP_006723457.1,aarF domain containing kinase 4,coenzyme Q8B,hsa:79934,uc002ooq.2,uc002ooq.3,uc002oor.2,uc002oos.2
